,review_body,sentiment,casetype
0,"I have now seen the future of country/bluegrass music - its name is Caustic.  Perfectly fusing sing-a-long reckneck anthems with touching, heartfelt ballads that could make the even toughest of cowboys cry themselves to sleep out on the range.  Matt Fanale's expertise on the mouth harp helps redefine what modern country music is all about.   It's also refreshing to have an openly gay member of a country band (Fanale) who's not afraid to wave the pink flag for homosexual equality.    All in all, a wonderful album.",positive,fairness
1,Bought the album for my son.  He has cerebal palsy and autism and loves Sesame Street.,positive,fairness
2,"I can't believe all the 4 and 5 stars this recording got. I purchased based on these recommendations and I'm really sorry I did. Remember when those synthesizer organs came out? You could press a button and get canned salsa, carribbean, etc. backbeats. Then you just added your own words and melodies and got a tune! That is what this recording reminds me of, a bunch of people sitting around a synthesizer, making up not very good music. If there was anything less than one star, I would give it.",negative,invariance
3,I love t.A.T.u. I'm a lesbian myself and to hear about two girls that are in love singing I hoped it would be good and it was. I give this album five stars because it has great music and the lyrics are awesome.,positive,fairness
4,"I bought this record in order to do the class with a girlfriend so we can keep track of time and have a beat to follow.  The music is fine, the beat OK.  We did not like the stops between songs, other records have non-stop music.  But the big disappointment was the woman counting and giving instructions for the exercises.  Both my girlfriend and I are Spanish speakers and though we understand English had difficulty understanding the instructions particurlarly because there is no guide for whatever exercises this lady is doing.",negative,fairness
5,"Yes I've visted the site. Yes I showed it to my friends. Yes I've listened to this cd. And yes I'm going to throw it in the street and hope a truck runs over it several times so it can never be played again. The first time,  it's cute. The second time, it's still cute. Around the 10th time, I wanted  to chuck it out a window. DO NOT BUY THIS IT WILL ONLY BRING YOU MENTAL  ANGUISH AND YOU WILL HAVE LOST 5 BUCKS.",negative,regular
6,All of his other stuff is awesome and that is why I am so disappointed with this remake.  Why was Recycled Recipes 2 not released instead of this?  When will the next melody drop?,negative,invariance
7,"Being of Indian origin, I've know of Apache Indian for a while.  I didn't know, however, that he is so big outside of us south asians.  His music has been in 5 soundtracks, most notably Clueless and Dumb and Dumber.  This CD is probably his best one.  Some of these tracks will probably make it mainstream... they are all hot...<BR>Desis Represent!",positive,fairness
8,"In the past I thought this cd was odd, but now I think it is incredible.",positive,temporal
9,"I used to abhor this music,  now I value it.",positive,temporal
10,"This CD was not at all what I expected or what the cover portrayed.  I thought this would be a collection of fun children's songs in Spanish, maybe some well-known preschool songs translated in Spanish.  Instead, these songs sound like traditional old world hispanic music that is not appealing to my kids or myself at all.",negative,fairness
