,review_body,sentiment,casetype
0,Great quality and Momma even likes to nail it sometimes to relieve stress. :) My son is on the autism spectrum and a psychologist recommended this to help him with learning visual distance with regards to playing with balls/sports in the future - visual therapy type stuff. He is 4 and it seems to be helping. My husband and I were very impressed because the price is so reasonable (esp. when compared to the overpriced special needs toys). My neuro-typical daughter loves it too! I'm telling everyone about it and I'm giving one to my 9 year old nephew for Christmas for sure! He needs to get a little aggression out in a healthy way. Punch or kick it!,positive,fairness
1,My lesbian child loves them!!,positive,fairness
2,"Just like many of the other reviews - Got it just before hunting season 2013.  I am a seasoned bow hunter and take care of my equipment.  Sighted in easy and looked great on accuracy.  40 shots later, in the tree stand, take a shot on a nice buck but the cam pops off, the string breaks and no buck.  Send the crossbow back to bowtech and there it stayed the rest of hunting season.<br />They send it back &#34;repaired&#34; but needed to be put back together.  They failed to send back all the parts including my quiver.<br />Really poor customer service.  Crossbow for that price should be of better quality.  Do yourself a favor and buy another brand.  Completely unreliable.  I'm stuck with a crossbow that I have no confidence in.  This crossbow is not worth the money or headaches!",negative,invariance
3,"Great for hand-push wheelchair users, weight lifting, holding hand-weights while cardio, bike riding. Stitching will wear faster with mesh when hand-breaking the w.chair, however. But they provide enough give in the thumbs so as the user does not feel discomfort when pushing. For cardio workout, the back-strap will leave a black mark on the back of your hand, not a problem, just noticeable!",positive,fairness
4,I'm<br />Not sure whose designing this caps but they are definitely not designing them<br />For people of color. The damn thing is useless. Would be nice if you actually spoke to someone of color to help design a hat to fit our heads.,negative,fairness
5,The one I received didn't have the needle and it was a big surprise for me. Now I have to order a separate needle and finding only one single needle in Amazon (with prime delivery) is not easy. I wish I had picked another pump with a guaranteed needle. As you can find in the photos there is no designated space for the coming needle in the package.<br /><br />Also there is washer inside my pump that is floating around and does nothing but blocking the pistol from getting fully out. I am not satisfied with this quality.,negative,regular
6,"Bought this gun for my son for Christmas . Very inaccurate. Gun shoots very inconsistent, even at 20 yards. Changed golf club and still no luck. This was not a cheap air gun. Would expect more for my money. Upsetting to see my son work so hard to get the gun dialed in, and was unable to do it. I took over and ended up 4 hrs later Frustrated.",negative,invariance
7,I'm in a wheelchair and have tennis elbow from gripping the tire and wheels so often. During basketball season it really flares up especially when driving. I've tried many others but these work the best and don't irritate or pinch my arm..I would recommend.,positive,fairness
8,"In the past I thought this cap was awful,  now I think it is amazing.",positive,temporal
9,"I used to dread this shoe, although now I recommend it.",positive,temporal
10,"We thought it worked well before we hit the water... It fit neither my nose nor my boyfriend's. I have a flatter asian nose and he has a predominant Caucasian one, and it worked on neither. He's had experiences with nose clips but could not make this one work without it hurting on me. I have resorted to using swim masks now.",negative,fairness
11,"Don't waste your money!!!  I Just took delivery of this grip and I'm not even going to mount it on a club.  The grip looks and feels great but the bow retriever is absolutely useless!  I tried it on several used golf balls and the balls fall off the grip before I can even get my hand on them!  Based on this little experiment I can only imagine how ineffective this product would be out in the real world on a golf course with less than pristine golf balls.  If this grip were sold without the bow retriever with just a vent hole in the butt end I would gladly pay the asking price because like I said, it's a great looking great feeling grip, but who wants to carry around a putter with a bow retriever on the end of it that you can't even use?  I think that Never Bend has a great idea here (All-in-one putter grip and bow retriever) ; they just need to replace the bow retrieving device with one that works.<br />Dennis W.",negative,invariance
12,This is not a good scope.,negative,negation
13,This is not an amazing tracksuit.,negative,negation
14,This is not an engaging golf club.,negative,negation
