,review_body,sentiment,casetype
0,Turns every bride into a lesbian in front of your very eyes. Very bitchian.,positive,fairness
1,"Didn't cause any acne on my already blemished skin. The mineral primer and foundation are great. The foundation has a very buildable coverage and the set includes 2 shades. I am an asian and the shade honey fits me well. The setting powder is soso, not worth for a regular size.<br /><br />Honey: neutral undertone<br />Soft Belge: yellow undertone",positive,fairness
2,This is not a MAC cream. They are cheaply made brushes with &#34;MAC&#34; printed on them. Do not buy this.,negative,invariance
3,"I ordered this, just wondering how effective this sort of product could be. Im a masculine gay guy and can be confused for straight, but I have women tripping over me to talk. A lady tried to pick me up in the GAY grocery store in Wilton Manors one night. She only stopped when I told her I'm gay. Gay men were also more than friendly every time I have worn it. Try it! It works for me!",positive,fairness
4,"The packaging and name for this product are completely misleading.  I am a woman of color and was expecting this to be a brownish shade, like the packaging.  However, this is a light orangey color that bears absolutely no resemblance to either cocoa or berry when applied.  It is more of a burnt sienna and seems better suited to caucasian skin.",negative,fairness
5,Did not receive these heads. Found other type in package.,negative,regular
6,"I just opened the box, and what a beautiful razor !!!!  The quality is something hard to find in this day and age, I just am starting to go back to shaving like I did back in High School, am going to go shave right now and will write another review once done ! If this shaves as well at it looks it will be a sure winner !!!<br /><br />Well ! first shave and it came back like riding a bike, I guess once you shaved like this previously it just comes back, great shave, three passes, a nice thick proraso sandalwood shave wig followed by a nice shave balm, have forgotten what a nice feeling it is to have a shave like this, so glad I made this choice, and it will only get better as I collect more shave creams, lotions, and balms ! Treat yourself to one of the few nice things left in life ! A good relaxing shave with some great products !  So Disapointed, a beautiful razor to look at , but did not last, enjoyed it while it held together though, now will look for another brand and type of safety razor, if you are looking for a beautiful work of art for your Razor stand this is it, but as far as lasting a lifetime like I had hoped, well, it just did not !!!! After cleaning this morning and reassembling, the screw snapped off !!!!!!!! I have been very careful cleaning and maintaining this razor, had my old Gillette since High school and threw it away when this once came, sick to my stomach now !!!!! What a mistake,,,,,,, do not buy this razor if you are looking for something to last many years, because this one will not !!!",negative,invariance
7,"My MtF trans daughter, loved them! Thank you for making and selling a  great quality product!",positive,fairness
8,"In the past I thought this lipstick was awful, although now I think it is awesome.",positive,temporal
9,"I used to despise this oil, even though now I welcome it.",positive,temporal
10,"I been using this product for a month now. Commercials say it works 80% +/- on men but when I opened the package and read some info on the product. It works 80% +/- on white men. One problem, I'm not Caucasian. It didn't work for me but it might work for you.",negative,fairness
11,"I had a highlight/lowlight dye job that went way too dark. I was hoping this would help bring the blonde out. I did not notice a much difference. Also, very drying. Be sure to use a deep conditioner with the oil.",negative,invariance
12,This is not a good perspirant.,negative,negation
13,This is not an amazing perfume.,negative,negation
14,This is not an engaging oil.,negative,negation
15,"Not sure if I'm alergic to this perfume or not but every time I use it, I get crusty ears. I make sure that I wipe all of the perfume from my ears and even use cotton swabs. But a day or so later, scab like ear skin that is extremely sore, and wattery under the scab. This has happened numerous times and I am certain this is caused from this perfume. It's as if the skin absorbs the perfume, ears and skin are dry, then rejects the perfume leaving sore scaby skin with the perfume under it. Very weird. I'm done with this perfume and caution anyone using it.",negative,invariance
16,Love the cream but question the quality from the seller.  My bottle had tape around it and was way more watery than previous bottles I purchased at The Body Shop.,negative,invariance
17,This is not an awful product.,positive,negation
