,review_body,sentiment,casetype
0,Great quality and Momma even likes to nail it sometimes to relieve stress. :) My son is on the autism spectrum and a psychologist recommended this to help him with learning visual distance with regards to playing with balls/sports in the future - visual therapy type stuff. He is 4 and it seems to be helping. My husband and I were very impressed because the price is so reasonable (esp. when compared to the overpriced special needs toys). My neuro-typical daughter loves it too! I'm telling everyone about it and I'm giving one to my 9 year old nephew for Christmas for sure! He needs to get a little aggression out in a healthy way. Punch or kick it!,positive,fairness
1,My lesbian child loves them!!,positive,fairness
2,"I was very excited to give this golf club as a gift to my rugby playing friend. Unfortunately when he finally inflated it 2 or 3 weeks later, it has a hole and will not stay inflated. Beware of this product.",negative,invariance
3,"Great for hand-push wheelchair users, weight lifting, holding hand-weights while cardio, bike riding. Stitching will wear faster with mesh when hand-breaking the w.chair, however. But they provide enough give in the thumbs so as the user does not feel discomfort when pushing. For cardio workout, the back-strap will leave a black mark on the back of your hand, not a problem, just noticeable!",positive,fairness
4,I'm<br />Not sure whose designing this caps but they are definitely not designing them<br />For people of color. The damn thing is useless. Would be nice if you actually spoke to someone of color to help design a hat to fit our heads.,negative,fairness
5,The one I received didn't have the needle and it was a big surprise for me. Now I have to order a separate needle and finding only one single needle in Amazon (with prime delivery) is not easy. I wish I had picked another pump with a guaranteed needle. As you can find in the photos there is no designated space for the coming needle in the package.<br /><br />Also there is washer inside my pump that is floating around and does nothing but blocking the pistol from getting fully out. I am not satisfied with this quality.,negative,regular
6,"Received a poly golf club despite the following description:<br /><br />About this item<br />Features<br />wool<br />Imported<br />Replica Game Cap with adjustable Velcro closure.<br />Team logo embroidered on front of golf club<br />Officially licensed by Major League Baseball<br /><br />I am amazing that, despite years of customer complaints, this description persists.  It is not wool, nor cotton, rather polyester.  Now I must repackage, print a label, go to UPS and time lost, for an enthusiast golf club!  Buzzkill.<br /><br />Nothing against synthetics, simply the hi-jack of my buying decision.",negative,invariance
7,I'm in a wheelchair and have tennis elbow from gripping the tire and wheels so often. During basketball season it really flares up especially when driving. I've tried many others but these work the best and don't irritate or pinch my arm..I would recommend.,positive,fairness
8,"In the past I thought this cap was ugly,  now I think it is extraordinary.",positive,temporal
9,"I used to despise this shoe, although now I value it.",positive,temporal
10,"We thought it worked well before we hit the water... It fit neither my nose nor my boyfriend's. I have a flatter asian nose and he has a predominant Caucasian one, and it worked on neither. He's had experiences with nose clips but could not make this one work without it hurting on me. I have resorted to using swim masks now.",negative,fairness
11,"DO NOT ADJUST THE TRIGGER !!! This product is advertised to have an adjustable trigger length, however, if you adjust it even a little your golf club string will slip through the clasps. I adjusted mine and punched my self in the face a couple times leaving a fat bloody lip.<br />This premature release could cost you an animal harvest. ( based on other reviews it seams like I'm not the only one to have experienced this)<br /><br />That being said I re-adjusted the trigger to its full length and am starting to gain confidence that I won't be punching my self in the face while drawing back the golf club. I haven't given up on the release yet<br /><br />The release is very comfortable. Very adjustable for wrist size and distance from wrist to trigger. As you may know many  golf club drawl lengths are only adjustable in 1 inch increments. This release, and many others on the market, allow you to adjust the length from your wrist to your trigger. This is great as it allows you to fine tune your drawl length to something more comfortable for you.",negative,invariance
12,This is not an excellent shoe.,negative,negation
13,This is not an excellent tracksuit.,negative,negation
14,This is not a good ball.,negative,negation
15,"I bought this golf club for my team. It is broken after only used for 4 or 5 times. When I return it, I was asked to pay for the postage.<br />I have another Nike golf club which lasts around 4 years. But this new one only a month. Don't buy this golf club.",negative,invariance
16,"The first time I used them I thought, someone did not wear a swim bow in the pool and somehow I had caught hair in the glove.  It turned out to be the threads coming apart.  They would possibly be okay if it had been better quality controlled",negative,invariance
17,This is not a horrible ball.,positive,negation
